Format Version,1.0,
Take Name,Take 2022-10-21 01.58.24 PM,
Capture Frame Rate,300.00,
Export Frame Rate,300.00,
Capture Start Time,21 Oct 2022 13:58:24 +0900,
Total Frames In Take,32253,
Total Exported Frames,32253,
Coordinate Space,Local,
Device Name,AMTI 3194 3194,
Device Type,2,
Device Channel Count,6,
Mocap Rate,300.00,
Mocap Rate Multiple,1.00,

PlateLength,19.750000,
PlateWidth,19.750000,
PlateOrder,1,
PosX_PosY_X,0.502139,
PosX_PosY_Y,-0.000029,
PosX_PosY_Z,0.501192,
NegX_PosY_X,-0.000017,
NegX_PosY_Y,0.000014,
NegX_PosY_Z,0.501749,
NegX_NegY_X,-0.000020,
NegX_NegY_Y,0.000034,
NegX_NegY_Z,0.000002,
PosX_NegY_X,0.502136,
PosX_NegY_Y,-0.000009,
PosX_NegY_Z,-0.000555,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
204,0.680000,204,-12.999512,-0.686615,675.000000,51.044922,3.915649,-2.818481,-0.005801,0.075622,0.000000,-3.805515
205,0.683000,205,-12.724121,-0.609283,674.468750,50.955078,3.876099,-2.920776,-0.005747,0.075548,0.000000,-3.885566
206,0.686000,206,-12.880371,-0.558502,674.312500,51.025391,3.846802,-2.804932,-0.005705,0.075670,0.000000,-3.782779
207,0.690000,207,-12.732910,-0.034809,674.312500,51.015625,3.828369,-2.706177,-0.005677,0.075656,0.000000,-3.669693
208,0.693000,208,-12.851074,-0.433472,674.187500,51.000000,3.871948,-2.887451,-0.005743,0.075647,0.000000,-3.862081
209,0.696000,209,-12.973633,-0.586639,674.468750,51.000000,3.891724,-2.720459,-0.005770,0.075615,0.000000,-3.704846
210,0.700000,210,-12.409668,-0.524994,674.843750,51.023438,3.863037,-2.720947,-0.005724,0.075608,0.000000,-3.662220
211,0.703000,211,-12.356445,-0.187996,674.187500,51.046875,3.840576,-2.588989,-0.005697,0.075716,0.000000,-3.525643
212,0.706000,212,-13.015625,-0.278183,674.750000,50.945312,3.674438,-2.545166,-0.005446,0.075502,0.000000,-3.529393
213,0.710000,213,-13.136230,-0.109482,674.187500,51.087891,3.838745,-2.738403,-0.005694,0.075777,0.000000,-3.734451
214,0.713000,214,-13.104492,-0.196045,674.562500,51.062500,3.815796,-2.705933,-0.005657,0.075697,0.000000,-3.699015
215,0.716000,215,-13.451172,0.118561,674.187500,50.935547,3.731934,-2.909058,-0.005535,0.075551,0.000000,-3.924651
216,0.720000,216,-13.166992,-0.035397,673.687500,50.994141,3.764893,-2.758545,-0.005588,0.075694,0.000000,-3.755406
217,0.723000,217,-13.005859,-0.429443,673.812500,50.976562,3.793945,-2.757935,-0.005631,0.075654,0.000000,-3.744297
218,0.726000,218,-12.852539,-0.577576,673.562500,50.935547,3.750488,-2.743164,-0.005568,0.075621,0.000000,-3.718303
219,0.730000,219,-12.501953,-0.803589,673.812500,51.037109,3.834351,-2.756104,-0.005691,0.075744,0.000000,-3.707622
220,0.733000,220,-13.289551,-0.217400,673.812500,50.972656,3.784790,-2.658203,-0.005617,0.075648,0.000000,-3.664754
221,0.736000,221,-13.393066,0.126755,673.687500,50.894531,3.757568,-2.477173,-0.005578,0.075546,0.000000,-3.488261
222,0.740000,222,-13.195801,-0.249023,673.937500,50.947266,3.715698,-2.444580,-0.005513,0.075596,0.000000,-3.443508
223,0.743000,223,-13.859375,0.018623,674.093750,50.962891,3.621826,-2.763306,-0.005373,0.075602,0.000000,-3.811003
224,0.746000,224,-14.005371,-0.257523,673.937500,50.941406,3.736572,-2.942139,-0.005544,0.075588,0.000000,-4.002201
225,0.750000,225,-13.500488,-0.709381,674.093750,50.929688,3.777222,-2.941040,-0.005603,0.075553,0.000000,-3.965015
226,0.753000,226,-13.185059,-1.260376,673.437500,50.972656,3.713623,-2.893555,-0.005514,0.075690,0.000000,-3.898485
227,0.756000,227,-12.722656,-0.944824,673.562500,50.943359,3.706177,-2.960327,-0.005502,0.075633,0.000000,-3.927775
